ds,yhat,yhat_lower,yhat_upper
2023-10-08,221.37657926799574,207.3947538707727,234.09876988232125
2023-10-09,224.6982981246037,209.68088742263305,237.62110978551252
2023-10-10,226.46463095345752,212.97534372569615,240.29242978921704
2023-10-11,227.16645285714714,214.2387173093194,240.48278336926387
2023-10-12,227.38959456093068,212.71815184284168,240.62900440576345
2023-10-13,228.1175224944426,214.7777766191609,241.70122622357295
2023-10-14,227.33968270129995,213.07208129815274,241.15600522294244
2023-10-15,224.5479154851004,211.2689500149692,239.4095845753932
2023-10-16,228.1965870592692,214.60703278117288,241.90905153436466
2023-10-17,230.24597443357982,217.22159899000036,243.7138879260699
2023-10-18,231.18414037950947,217.9680673206152,244.59734143852143
2023-10-19,231.59502989548616,218.19766245680765,245.21777181425915
2023-10-20,232.46142382097,219.82678580597073,246.50427511762186
2023-10-21,231.77018264356786,218.28951059226523,244.76263076615996
2023-10-22,229.01270556601008,215.4790575531036,242.7458448467556
2023-10-23,232.6517776235921,219.44805356169582,245.22968297694274
2023-10-24,234.64178115382967,221.9071901319843,248.0924872682757
2023-10-25,235.47320660418475,222.13654244509019,249.7154871966156
2023-10-26,235.73301007657975,220.8688735684224,249.72463474220854
2023-10-27,236.4077536087412,223.6267974822293,250.5834986795629
2023-10-28,235.48568091552164,221.39365534413093,249.16197443883956
2023-10-29,232.46117296239683,218.72200939239593,246.28692175347186
2023-10-30,235.80828313089742,222.38734938092628,248.88023772245805
2023-10-31,237.47776809489199,223.75222413523312,251.0823640684306
2023-11-01,237.96424661229705,223.93823246954645,250.95434783480889
2023-11-02,237.85884805764152,223.69423399071232,251.96321434275876
2023-11-03,238.15258493493954,223.99002380034406,251.39968675112817
2023-11-04,236.8353191857211,223.4854242280064,251.0855059966076
2023-11-05,233.40428300261215,219.65968570154558,246.49668229549331
2023-11-06,236.3443776426138,222.29516450770166,250.44108472438495
2023-11-07,237.6021027871481,223.91962636250668,251.75342913736364
2023-11-08,237.6754424525842,224.35435770238203,251.621930616032
2023-11-09,237.15888037084687,222.8206891884153,250.29833565500027
2023-11-10,237.04707419142272,223.62641212868846,250.78690514043888
2023-11-11,235.3307725951848,221.5117105765182,249.04862213582317
2023-11-12,231.5094499629425,218.43424034651213,245.56260618433262
2023-11-13,234.07840391113004,219.55032153882095,247.8501607371358
2023-11-14,234.979603312041,221.2450547881234,248.9672988912926
2023-11-15,234.71430584432773,220.33813959700925,247.6679151365612
2023-11-16,233.88042895921456,220.30241530154507,247.16775013916495
2023-11-17,233.47649922787295,220.07196554142064,247.23620908965316
2023-11-18,231.49447955239043,216.94960870122515,245.60985382330688
2023-11-19,227.43646450659494,213.4467058592188,241.75209369213647
2023-11-20,229.80851314519796,215.6825252839794,243.8328370658137
2023-11-21,230.54834461685297,217.68155472595888,244.61363439088535
2023-11-22,230.16061166530477,216.3527446792782,243.93042097683733
2023-11-23,229.24655011178828,215.72081232873776,242.26205164347004
2023-11-24,228.80812827128477,214.13354861521566,242.85370748888423
2023-11-25,226.8377145644155,212.2598955756345,239.68140697076885
2023-11-26,222.83877249543966,208.8092934011165,237.24573708990135
2023-11-27,225.3263794186303,212.200764090165,238.93927833063873
2023-11-28,226.2317348694304,212.68570073651009,241.29731515141657
2023-11-29,226.060071870682,212.18348425563798,240.24149427622515
2023-11-30,225.4125852775973,212.18694558478646,239.05218344235442
2023-12-01,225.29080126966298,212.2624788942911,238.75699222661225
2023-12-02,223.68312554952854,209.73405997115952,236.86615802505332
2023-12-03,220.0895981619248,205.87003973660427,235.0612647109002
2023-12-04,223.02917758506288,209.9256001407119,237.39933911939468
2023-12-05,224.42115877774293,209.97906680963558,238.7071047213869
2023-12-06,224.765834738905,211.83975419915,238.8667702722287
2023-12-07,224.6588288426242,208.5377960620306,238.23872887570448
2023-12-08,225.09581892548408,210.18082156078128,239.1236943554488
2023-12-09,224.056106275296,209.40555270467212,238.18339823153548
2023-12-10,221.0315721518801,207.49956086060197,234.58330659784116
2023-12-11,224.54086650280675,211.04076367519934,238.11798591459402
2023-12-12,226.48786817734606,212.4872027721274,241.0686432552189
2023-12-13,227.36521811921918,213.158153376011,241.43608142675058
2023-12-14,227.76116197600035,213.1961974336925,241.00591563641282
2023-12-15,228.66471627246545,214.22768774161963,243.17032347400925
2023-12-16,228.04632363373892,214.2079618571299,243.0580852400756
2023-12-17,225.39105171147438,211.1583050823594,240.32251673001832
2023-12-18,229.21970044037363,214.30920254001097,242.9281443269048
2023-12-19,231.4242902286895,216.998254833958,244.97539421392165
2023-12-20,232.49442394769866,218.2619987531142,246.2624674779523
2023-12-21,233.01656860680407,218.95818255846143,247.55548733941282
2023-12-22,233.97956512669163,220.24048187725126,247.35541893415296
2023-12-23,233.35224593382085,219.2017795164112,246.82033762243242
2023-12-24,230.62072971700098,216.30783763566285,244.99373063391366
2023-12-25,234.31628130429976,219.4036837572786,248.24702001216286
2023-12-26,236.3276465464774,221.66776158464774,251.3128693522509
2023-12-27,237.15005094983619,222.12532116971877,251.50445728702695
2023-12-28,237.37672227713392,224.05952591242644,252.09793786561585
2023-12-29,238.00454493339197,223.21846216760233,251.67515709250696
2023-12-30,237.0084453486699,221.47932170027815,250.90925346783396
2023-12-31,233.88259760140443,218.9980686689711,248.76629260231869
2024-01-01,237.1748656020092,222.72773123368543,250.5989216890823
2024-01-02,238.7758337048397,224.1378641674375,253.04263419037616
2024-01-03,239.19031460128832,224.07753473456816,253.24798927158642
2024-01-04,239.0210126830302,224.9673120932533,253.82522618708478
2024-01-05,239.27425303260077,224.93823927164735,254.80802995669615
2024-01-06,237.93109688519323,222.20194231678406,252.31192138319568
2024-01-07,234.4924539904168,218.75929694601888,248.11099589863042
2024-01-08,237.52013693237666,223.26372504595832,253.2415183755929
2024-01-09,238.90265071251193,224.73383512406733,253.34486835758204
2024-01-10,239.14930509638066,225.97159374534934,252.8027591291982
2024-01-11,238.8661435426747,225.00620375821575,252.80436604865855
2024-01-12,239.06189804834102,225.0759200485288,253.36151405937244
2024-01-13,237.7160084858757,222.32623454104504,253.18052320673615
2024-01-14,234.32783351395003,219.73152991206896,248.63447293957853
2024-01-15,237.46452181794206,221.52327375119384,251.15772152394672
2024-01-16,239.00377301082924,223.8936765058639,252.8627496798145
2024-01-17,239.4507687158889,224.3849866965076,254.66787376937916
2024-01-18,239.40657758716677,224.8582724087659,253.96458324181893
2024-01-19,239.87453718593136,225.40741330954867,255.14983303869
2024-01-20,238.82536368254011,224.64333820576795,253.0177382131156
2024-01-21,235.75062818468925,221.27334461442544,250.5565333735012
2024-01-22,239.21758775809067,225.0620013717099,253.63006133513622
2024-01-23,241.0890327766331,226.2167992557111,255.62962700481802
2024-01-24,241.86312119705374,226.90785719972834,256.168053180443
2024-01-25,242.13431136253422,226.67984201456304,256.2062471163834
2024-01-26,242.90018866374547,227.7786151895639,258.32809696444474
2024-01-27,242.12364919387187,227.89559713025687,256.9968152363716
2024-01-28,239.29059164560243,223.60828239460463,254.07444498966396
2024-01-29,242.97162648366765,228.21184891233398,258.5103498451374
2024-01-30,245.01889887705858,229.8059684719903,259.3202665295622
2024-01-31,245.92868940757162,230.46469902761592,260.60064995650504
2024-02-01,246.29471606674738,231.38344280929903,261.85751064679954
2024-02-02,247.11522993055968,232.11254537468184,261.6632949833146
2024-02-03,246.35208492463568,231.5891556770077,261.1445807937592
2024-02-04,243.49245079236334,229.72842732002468,259.55534782021556
2024-02-05,247.11720483772098,231.62396330385738,261.57774578735246
2024-02-06,249.0745393354935,233.8406847477185,263.3143064808372
2024-02-07,249.86514743991464,234.56894318743173,263.8455441816087
2024-02-08,250.08772807897242,235.796700424376,265.2310421729023
2024-02-09,250.74620388269776,237.432785731519,265.20102198004867
2024-02-10,249.80555382994734,234.6726181839675,264.84566174608574
2024-02-11,246.75745087102345,231.78825323741034,262.0998124442034
2024-02-12,250.1952691079265,233.70649985452172,264.64379787918864
2024-02-13,251.96443942893262,237.354772953496,266.9369603685841
2024-02-14,252.5702159184372,237.47185753025371,267.9190841725069
2024-02-15,252.61541024494673,237.24710394009853,268.1944062195711
2024-02-16,253.1077885517656,237.74006822731653,267.6565543030185
2024-02-17,252.0127517398282,235.86833269936736,266.20360661116507
2024-02-18,248.82300765949367,233.7648236465736,264.41832984820877
2024-02-19,252.14032518833338,235.89099649789296,266.1761571637564
2024-02-20,253.80278686196183,239.01305976644855,268.8189890518262
2024-02-21,254.31529714581555,239.2865585087874,269.22001163569894
2024-02-22,254.27971519653468,238.61089662302825,269.4420002643566
2024-02-23,254.70260185108344,239.2465523280798,269.3527741412905
2024-02-24,253.5449156403311,238.3025572856286,268.2719357219597
2024-02-25,250.29587943097945,234.14098273045843,264.8298935476526
2024-02-26,253.56162817584905,237.33984256734584,269.7157616901558
2024-02-27,255.16948774477925,239.83078346703562,270.20200062351967
2024-02-28,255.62133278671377,239.61342971277034,270.6619104317583
2024-02-29,255.51620089081675,239.65205363975235,271.1592235934991
2024-03-01,255.85844554519755,239.88388559376733,271.70107225700156
2024-03-02,254.60447499125502,239.52933153106576,269.4906134335635
2024-03-03,251.24081095184272,236.64132482582338,265.6531993520036
2024-03-04,254.37959841818972,238.46518231264264,270.60334458338855
2024-03-05,255.8398508810199,240.6232032992955,270.37182680585204
2024-03-06,256.1235717997357,240.86768902919698,272.00230569956125
2024-03-07,255.8307407874853,241.17659056513796,271.95493519668804
2024-03-08,255.96774328699792,238.64532520981444,271.32459032393285
2024-03-09,254.49100726978432,237.3618471803009,269.1780343916066
2024-03-10,250.88909793489452,235.61447209212167,267.46102345469933
2024-03-11,253.7849272697051,239.4831540635902,268.6855665653123
